"","Col0.1","Col0.2","Col0.3","Col0.4","Col0.5","Col0.6","Col0.7","Col0.8","Col0.9","Col0.10","Col0.11","Col0.12","Col0.13","Col0.14","Col0.15","Col0.16","Col0.17","tt4.1","tt4.2","tt4.3","tt4.4","tt4.5","tt4.6","tt4.7","tt4.8","tt4.9","tt4.10","tt4.11","tt4.12","tt4.13","tt4.14","tt4.15","tt4.16","tt4.17","tt4.18","tt4.19","tt4.20","mto1.1","mto1.2","mto1.3","mto1.4","mto1.5","mto1.6","mto1.7","mto1.8","mto1.9","mto1.10","mto1.11","mto1.12","mto1.13","mto1.14","mto1.15","mto1.16"
"myo-Inositol",3257.0345,2877.8703,3311.6603,3211.3777,3623.4471,2901.9521,2770.4576,2243.3689,2927.7923,3304.9229,3441.9181,3876.1296,3220.5156,3769.8994,3021.6565,3027.7327,3670.4223,2400.7168,2164.223,3171.6372,3222.7713,3175.9275,3796.1166,3283.9004,2922.7386,3077.4465,2789.502,2788.3921,2515.8122,2256.8464,3254.7854,3233.6614,2564.9793,2923.0476,3110.2642,3475.9099,2567.2099,2174.6592,2700.4709,2262.5299,2404.6767,1508.9705,2531.9011,2286.4313,2030.7621,1884.2996,3127.6837,2510.1763,2846.1792,2695.7122,2321.4702,2833.5078,2773.2363
"Glycerol-3-phosphate",0.87966,0.76485,1.4941,1.2226,2.8825,1.1013,0.9803,1.1151,0.989,1.6689,1.6721,1.9189,1.7361,1.5599,1.6254,1.1745,1.8063,0.50463,0.54183,1.298,1.5366,1.5538,1.4422,2.2931,1.1696,2.3614,1.1984,1.0156,1.8723,1.4421,1.5383,1.327,1.0209,1.9009,1.1593,1.0732,0.66343,1.0557,7.9192,1.9131,1.3578,1.005,3.0778,1.6883,1.0117,0.92067,1.8551,1.0951,2.1144,1.2921,1.2954,1.9692,2.1849
"Alanine",133.5223,186.1879,161.3597,137.3876,144.2543,123.9306,44.2366,104.8659,70.4265,9.0923,26.0597,53.8311,33.2322,106.9254,106.879,83.677,27.2239,24.3194,69.2747,60.7486,39.8139,10.0607,78.9886,21.8999,45.8541,22.0095,54.7484,76.4671,19.2152,18.7387,99.9456,87.1387,72.336,104.4852,108.1917,75.4074,54.7529,133.6361,101.2815,165.1704,106.9315,77.3318,65.8713,132.5535,103.5584,71.7214,44.3337,66.8531,47.0922,62.1223,65.9236,80.3123,44.2847
"Pyroglutamate",1906.4092,5208.8418,2320.7322,1946.1374,1970.1395,2887.5968,1349.8856,2856.5574,1583.6428,1491.6052,1468.6695,1632.8513,1485.1968,1753.7626,1575.5884,2030.811,1832.4433,2271.0008,3536.0394,1794.4043,1523.0334,1558.7406,1748.2858,1579.1925,1333.9839,1521.4325,1370.868,2811.9869,1374.0912,1215.8361,1625.1143,1657.2148,1430.4665,1412.4906,1618.0312,1444.6469,1196.4341,3251.9986,1849.1073,3551.6688,2328.1883,2524.9143,1586.4681,3017.1024,2507.3917,1274.6162,1564.8176,1278.6461,1691.6338,1482.0708,1584.5167,1436.938,1759.6319
"Glycerol-2-phosphate",7.6508,12.0897,7.7747,8.8026,10.0746,9.0892,11.4922,8.1496,9.1183,9.0082,10.6148,12.6515,13.911,17.2646,8.8182,8.2957,8.8302,13.4092,8.6652,15.5538,13.7102,9.7496,13.1855,12.3927,12.1023,12.5123,15.3325,18.5619,9.308,12.5841,18.7275,8.7992,10.2783,13.738,15.7338,15.1188,14.639,9.7475,16.0627,11.6982,8.7614,6.1076,8.4097,6.1979,8.0064,8.7675,11.5228,12.1943,7.8864,9.411,12.1225,6.7189,9.0451
"Erythritol",52.4146,58.072,44.1786,54.7337,44.0662,53.2428,36.0047,40.7833,41.3912,30.2755,33.383,36.5377,28.5995,38.1402,53.2818,45.4258,36.3932,37.9453,40.6613,34.6879,31.5974,31.4038,46.298,33.6581,31.4746,28.4495,27.5448,39.0438,23.6163,23.9351,35.6417,34.8278,40.0836,28.9293,37.3403,37.5454,30.1835,50.7013,58.0869,64.8136,48.8243,58.0709,51.0245,42.8005,56.3383,34.5516,36.5137,37.6238,50.0784,34.2083,33.8589,60.5275,37.394
"Spermidine",15.799,12.4902,11.3484,15.7063,20.6589,10.5096,11.6623,22.9,5.5046,8.1229,5.6173,10.3806,12.6308,15.4271,19.5479,5.2301,9.3048,6.9589,9.5212,9.9016,5.5451,6.1893,8.4898,6.7969,6.6342,7.8584,5.9257,20.4173,5.5654,8.6324,14.4806,27.4502,6.2115,12.4765,11.2206,8.2894,6.1765,6.5338,14.9568,20.0366,8.343,6.6034,19.6068,11.7393,5.1679,3.9078,8.034,9.9497,19.7538,6.771,6.4782,5.3593,8.4548
"Nicotianamine",38.8458,27.6818,39.3392,25.9179,41.4858,26.4697,31.2176,22.6367,25.9302,28.8212,34.9188,43.989,32.3859,42.8492,39.4551,20.5177,20.829,20.9307,12.2957,30.8895,22.7126,15.5621,32.5204,30.0753,27.2145,18.4165,21.9372,20.7387,18.0431,20.6421,33.6923,40.0697,20.6545,28.95,37.0525,30.7082,24.1898,21.1352,31.0176,32.5117,32.7851,14.8635,26.2698,29.778,19.8485,28.4747,41.6285,47.335,32.8337,31.7499,49.5634,38.3847,31.0021
"Methionine",12.105,16.4585,11.7215,9.9384,10.7658,10.9373,8.1732,9.4627,8.7576,7.8783,7.8058,8.8869,7.7841,8.8869,9.3901,8.1828,10.1063,8.7763,8.2422,9.7114,8.4771,8.2818,10.0875,8.596,6.9359,8.365,7.5658,8.1544,6.6952,7.0557,8.6105,9.4278,6.7863,7.6385,9.2184,7.3492,7.2252,86.7068,51.2529,101.4149,50.5351,51.1832,50.0092,96.7959,61.8565,46.3519,61.1662,52.9276,59.4538,47.133,52.7109,48.6155,65.9368
"Threonate",72.4011,50.6197,68.2149,59.9923,72.1,62.2192,54.1452,47.6781,54.6865,57.6819,63.8852,66.0277,58.4002,68.5292,65.3938,59.8115,55.0547,43.5445,42.8097,52.1063,55.6794,56.2711,71.3453,66.1934,52.1076,52.3997,43.2118,49.0993,44.799,39.624,55.7359,62.0577,39.1323,48.9293,55.6876,48.2243,36.1111,49.5053,65.0073,51.6876,50.6488,40.8032,65.2462,64.3198,49.2134,38.9861,64.5179,55.3642,69.3186,54.6338,52.9173,67.3024,63.8693
"Putrescine",1018.4383,1141.43,1075.2835,1029.5957,1121.267,1072.5794,1060.3675,1066.8483,1050.3109,1041.5592,1026.7498,1064.4331,1093.9873,1100.4871,998.1829,1031.5931,1079.3449,1034.8958,1063.5282,1057.7916,986.62,992.1177,1034.9758,1050.2448,1015.4038,1036.9744,998.4627,1031.4648,1077.2478,811.1404,1046.7615,984.003,1030.8968,1038.98,1076.3404,1053.8716,1018.1818,1082.383,1048.0825,1156.9026,1056.8379,985.9021,1006.0533,1019.4611,997.5506,947.8668,1014.927,1002.2206,1035.4229,925.0273,975.5994,890.758,1001.2815
"Tetradecanoate",611.4428,623.0602,625.6411,598.9443,614.6188,620.8705,603.2446,620.3295,604.6227,594.9086,600.0505,601.1452,613.1945,612.5602,601.8778,602.0776,599.2993,604.2217,614.7874,615.6432,591.8861,600.1764,609.8723,611.2171,596.5383,608.4797,594.2232,609.7832,635.9269,597.7553,628.4176,608.8198,589.2914,602.5998,610.0716,594.0812,592.4226,614.1915,594.9946,623.2032,622.2546,606.2411,600.4469,611.028,607.0885,587.6186,599.6324,608.4782,611.5825,597.0705,586.0768,548.52,595.045
"Glycerate",152.5962,117.6259,112.5892,138.7681,119.756,107.3704,80.5413,101.7349,104.1307,85.0224,91.3879,114.1303,86.6113,100.1406,98.2325,99.0514,99.9008,83.4399,73.7087,114.7927,97.306,96.699,127.1629,111.2845,83.1209,117.7687,86.2949,97.2814,83.8144,67.2717,96.3649,79.5602,79.1407,96.3064,99.5791,94.7837,84.8305,104.3024,106.4648,108.1494,89.7038,69.9964,107.5434,109.5092,80.512,70.5068,111.112,85.2077,123.2581,82.1714,127.7924,101.6937,119.911
"Campesterol",22.0463,36.8034,23.7285,22.9844,38.98,23.2644,25.4899,20.5382,25.4036,21.2197,23.0107,29.9519,29.5205,29.5661,19.6713,21.3995,26.7591,26.8716,21.0971,35.3502,31.8096,24.6272,30.2103,28.9786,21.3698,33.2235,31.977,30.9746,30.9263,35.0773,34.9235,21.2215,20.9391,38.5747,32.1295,28.3666,25.4996,17.8941,18.2292,18.3956,19.9453,9.1197,16.2601,14.5072,15.0046,14.6153,18.2807,14.8455,13.1538,14.5977,19.5014,17.5289,15.4755
"Dehydroascorbate",39.1814,29.3856,37.5502,44.608,53.8172,50.6861,60.3713,50.07,60.6332,50.852,71.1435,78.5754,68.2511,61.3621,66.7254,74.5231,65.8079,56.084,35.7008,73.1589,60.6787,74.0713,105.2809,104.7349,74.809,86.1042,73.979,67.6961,69.6675,56.1277,76.0234,60.1884,68.422,69.6021,79.3513,98.0944,69.0281,71.8488,58.394,78,88.1716,56.563,92.1673,91.9984,91.2114,77.2555,91.3147,87.8553,92.1883,87.8281,102.0385,141.4667,120.8672
"Dihydrouracil",124.9544,104.5012,124.6896,118.3341,95.8946,114.5231,125.7398,152.0232,116.0737,101.7897,120.4938,111.5708,107.3926,116.1296,146.4353,109.3975,117.7423,116.7448,139.3067,117.7332,109.8526,162.4118,114.1499,108.8637,131.5797,116.298,131.124,108.6667,115.2427,139.4856,120.2326,141.4178,127.2189,109.6127,120.0692,100.829,126.1259,105.1047,105.8295,105.6229,120.7416,109.2056,93.7215,100.0653,94.7109,102.2191,92.5415,94.3687,93.2774,95.6878,82.9711,47.0908,88.6501
"Glucose",5761.4323,7033.8606,6267.9765,5743.0491,7622.3013,6396.7109,6783.1552,6268.59,5622.7765,6235.8465,7129.9615,6694.3353,7964.8641,8162.8393,5658.2873,6175.5555,6161.6132,6727.0032,6105.5627,7563.1796,6723.4126,6451.6842,7281.9653,7786.3228,6834.7985,7432.6787,7920.4777,8319.269,8514.8108,6050.8965,8227.7799,5908.4517,7218.9974,7585.9966,8106.4443,7869.9547,6846.4658,7305.2861,7944.4742,8179.6808,6927.2012,5589.3245,6088.2607,6077.9131,5826.9049,5952.973,7210.1947,7351.1664,6682.6018,5897.9817,7212.5165,5360.5175,5999.1537
"Pipecolate",48.2744,27.855,38.7696,30.6883,35.7431,30.0626,27.0557,25.8832,14.479,17.641,26.2987,34.2249,31.4761,32.6876,37.6896,10.0973,15.491,9.3198,9.4954,23.494,30.8569,4.1092,32.7474,26.599,32.1552,15.7105,20.098,15.5651,18.9702,10.1942,32.1324,24.8978,15.0093,20.2421,36.5587,17.4845,17.1943,0.50042,13.1205,7.0273,0.83405,0.10763,19.4616,8.2325,0.017352,1.863,12.5277,15.0657,11.6455,11.6033,13.3364,14.2082,0.79052
"D-Glucose-6-phosphate",81.7667,103.7398,82.986,77.4157,80.8637,99.387,72.6753,48.5927,91.8496,71.8521,71.8238,87.8349,69.5239,68.6707,58.2171,85.813,89.3583,82.1553,63.5996,95.7392,95.2148,94.7296,117.2653,99.1032,80.0081,102.4256,82.47,68.1008,77.2512,68.5354,96.2478,74.1751,74.3652,87.3743,96.4357,99.7336,75.8892,100.6957,64.3455,90.5262,89.5276,70.0711,66.0861,89.31,84.3741,66.1815,86.874,67.4575,59.4765,78.8906,78.1289,89.974,84.0487
"Threonic acid-1,4-lactone",39.1692,33.8507,37.7614,27.6657,34.7515,35.5984,27.9654,26.489,31.8365,24.494,28.26,35.8626,27.886,32.2563,25.3512,30.782,32.1488,32.3183,23.6604,32.0121,33.2389,30.1298,43.0812,39.6507,32.4582,34.8168,32.2566,33.6698,32.8503,30.1828,35.7258,33.1125,25.3096,28.1501,32.6215,30.4501,26.3444,17.4741,33.4454,19.3667,23.0986,13.1357,22.5399,27.8892,22.6764,16.0251,25.1835,20.4467,20.2346,21.1724,20.8949,29.6136,22.1161
"Aspartate",228.5725,425.9916,246.3122,200.7875,252.6017,299.6962,177.2227,237.4435,228.2715,163.8323,163.6863,218.8753,180.6219,201.6641,162.9556,235.4858,224.7326,242.7454,244.0634,227.4426,202.7247,186.2203,234.0684,209.9082,171.4412,222.9265,183.4041,241.6673,206.5734,170.6656,225.6852,198.0446,183.6668,215.8042,220.2708,190.2026,165.2845,313.3311,202.8693,324.0428,247.4067,216.3481,197.9848,304.7892,242.807,151.7743,183.7351,150.9579,171.7386,178.2672,175.3622,185.1538,196.4116
"Lysine",57.4623,61.008,57.8997,40.3043,53.7148,53.2958,41.9594,43.123,37.5293,34.6719,32.0207,39.6227,37.9424,40.4648,38.0967,33.7943,39.3367,39.5371,38.0196,50.6346,41.446,37.2413,51.7025,41.8633,37.665,40.1521,35.8495,35.6019,33.6445,31.3223,46.2348,44.1955,31.2636,40.1682,45.9043,39.7184,33.113,53.3585,50.4045,77.42,53.023,37.4395,44.5798,55.2149,43.3708,34.5856,41.8621,41.7237,41.4516,41.4698,46.031,42.7958,45.5648
"Hexadecanoate",731.065,761.7096,745.558,738.9558,777.4529,719.726,754.5639,741.5993,714.3035,711.0331,743.9062,755.9496,775.4316,790.6702,738.1886,712.3345,740.2986,716.3882,714.4245,768.3035,726.6047,713.5397,732.9671,729.2927,722.6793,756.184,719.3185,746.9791,811.0513,737.6657,769.6862,717.504,716.6978,776.8656,766.1475,764.9547,745.1216,791.4951,817.6913,791.0834,781.4349,778.0826,762.8355,684.3487,749.0106,811.436,734.6388,785.4651,719.3512,713.258,810.2104,1059.6885,739.3629
"Tyrosine",30.2126,29.0017,33.0458,25.8548,33.3284,27.1629,26.3446,23.9141,23.9415,22.2111,21.042,24.784,21.9462,22.1416,24.0647,21.6821,24.9538,23.1802,18.1228,30.8808,26.9149,25.7677,33.7357,26.323,23.6216,26.3071,21.8063,19.4708,19.4614,17.9215,24.2916,20.3434,17.8136,23.2251,25.5128,23.5079,19.7767,25.81,32.6457,37.7961,30.8736,21.0361,29.6344,27.572,26.8913,19.2251,26.1277,24.8854,25.7476,23.5364,24.978,27.4481,27.2116
"gamma-Amino-n-butyrate",655.3981,988.6187,760.6567,600.6455,790.398,707.8702,402.4136,541.1792,477.3116,379.3476,367.1066,537.6632,401.2455,474.9009,478.6218,495.5114,560.893,533.3578,700.5875,620.7897,480.6499,470.2312,538.4025,430.5919,359.7232,456.7299,386.4187,595.0973,408.5196,308.7362,482.4227,460.3483,392.2712,497.6819,486.4235,401.8489,306.4705,781.3837,631.4226,757.0272,627.2276,578.523,500.3762,866.0475,649.8255,387.6247,441.4479,382.37,507.2623,462.7425,369.3839,438.7129,488.7332
"Glycine",4.2547,7.5839,4.4001,4.3013,5.0146,3.9111,2.3322,3.3785,2.3145,0,0.4278,1.3672,0.74814,4.0535,4.4666,5.0491,0.23226,0,2.4693,1.5885,1.0497,0,3.5437,0,1.2757,0,1.6906,2.2113,0,0,4.8734,2.2001,2.6657,4.5052,5.0817,4.8787,2.3128,3.8312,4.4182,6.4638,5.7939,2.5622,3.1783,3.4,4.1126,3.4035,1.7977,3.2181,1.9195,2.3388,2.7431,4.1965,1.2556
"Glutamate",614.8357,951.0304,686.1178,612.0797,697.3578,716.7516,602.1973,708.0012,631.1175,575.2063,555.9993,612.939,610.5976,644.1712,515.865,644.265,603.0746,622.9081,640.7796,655.4277,581.6011,513.2027,571.0711,575.6046,530.7748,597.8964,542.689,626.273,612.8499,433.1098,653.1777,567.5749,596.3126,643.5224,665.8013,598.7487,584.9626,722.8394,591.078,732.4921,659.149,565.9203,526.7428,677.5853,584.7171,524.0618,558.3398,546.429,519.8695,503.9487,572.3563,507.9713,557.8823
"Urea",14.2815,23.6351,13.5737,17.0733,20.8887,18.5056,15.3411,15.6373,12.3427,1.4615,7.7002,11.524,12.5352,16.9173,13.46,17.5117,8.9097,11.3003,24.0691,18.0374,12.6322,2.3105,15.7087,7.9677,10.9426,9.521,18.5758,22.714,8.9628,0.53602,18.071,8.7097,16.8639,21.4184,17.8266,18.2763,15.2674,25.8944,24.1258,31.2397,19.2256,19.7592,12.9815,15.8746,17.0021,16.1333,16.6219,15.9807,16.3873,13.678,11.9814,12.855,10.7694
"Fructose",4317.8872,3104.2329,3843.7197,3699.8778,4607.6171,3898.512,4702.4057,3109.5015,3997.3508,4668.3435,5353.2482,4918.6692,5715.9378,5291.2734,4427.7331,4842.9588,4583.7721,3483.6914,3712.2318,3834.3278,3884.6765,4468.4477,5055.0831,5126.6395,4378.2511,4255.5901,4738.4318,3845.6195,3754.7507,3093.9905,4239.7828,4006.7319,3884.4167,3563.6941,4269.5928,4525.2014,3355.3668,4173.2079,3975.1309,3750.2725,3659.7112,2594.2627,3790.9243,3966.7079,3342.4341,3006.1743,5034.5674,4363.779,4646.0842,4197.3308,4051.8845,3971.4298,4474.8648
"Sucrose",6069.8859,6619.9946,6782.9844,6373.3127,7661.6539,6287.7468,8688.3456,5657.4233,6464.5366,9416.0659,10150.1078,7694.8706,11822.8779,11545.9411,7724.9242,9405.3818,7031.6986,6811.163,6413.8124,6702.9062,6391.4053,6886.3768,6960.3712,8154.5021,7191.4697,7051.4605,8065.3015,7488.724,8146.4821,6170.1998,7322.6347,5769.8652,7116.3376,6116.9267,7201.4469,7989.9159,6449.4545,7311.547,5993.8372,7427.4324,7192.4262,4915.6465,5487.6857,5442.9066,6160.4245,5879.4473,8127.9726,8035.6418,7274.4431,6489.7629,8198.6462,5842.9826,6658.69
"Galactonate",99.5768,83.7166,95.2637,93.7391,112.2922,78.6155,75.832,59.8304,84.2235,85.9626,88.6019,116.1852,83.9031,93.3893,98.4753,80.8072,92.4758,55.6025,44.9097,76.8433,79.9161,70.2058,113.6109,100.7873,77.025,86.8081,68.0105,69.2987,73.5778,68.3187,79.4391,73.2909,55.5117,74.5211,80.2087,86.2878,57.572,63.407,84.9726,74.5949,70.3824,50.7786,96.1473,79.2228,68.9369,63.4532,89.4789,81.4586,86.9818,88.2502,75.2366,115.3482,90.4603
"beta-Sitosterol",128.1431,172.8788,132.9834,126.4891,186.8788,131.0308,137.7007,113.2189,126.2452,117.1954,131.5822,163.7317,171.4005,177.0856,123.5475,114.3813,136.0495,128.6412,104.1483,174.7072,165.8383,125.1589,166.9119,148.3282,121.5909,162.2124,153.9741,175.2102,160.5304,177.6075,191.0602,128.0836,115.214,191.4539,180.4607,150.7025,138.2568,132.4093,129.9019,142.3943,124.3483,84.5021,130.1659,125.2444,105.2913,107.4422,154.6983,127.0449,130.17,122.2268,148.4958,126.6004,125.5742
"Cholesterol",257.4535,336.8185,279.7696,269.0294,369.8865,270.1315,309.9719,270.1035,274.2604,278.3941,302.8667,303.1818,390.1221,375.2611,254.6457,258.6576,274.3433,311.2868,302.7426,371.5077,336.7582,272.0666,273.9451,304.7566,270.6631,364.9049,338.8955,363.9883,388.4348,366.4953,373.9703,270.5773,297.6044,390.8391,358.3095,315.6264,347.9218,317.448,259.1864,330.8534,281.7784,240.2992,249.587,254.8838,254.4638,272.5206,308.0528,273.729,266.954,247.3186,330.7461,248.92034,258.4974
"Citrate",958.9653,496.6351,928.5709,571.7437,799.6311,834.33,618.8711,378.0659,560.3578,670.1169,796.1536,701.7842,676.5588,821.4262,820.8078,621.6639,645.3717,627.3971,333.114,615.477,604.3091,501.0543,802.0035,808.1254,637.9345,529.8196,493.1231,560.0126,539.2258,481.3026,623.2526,878.771,472.1157,561.2904,607.5856,547.4501,368.6231,634.5258,866.7024,565.8728,926.6949,764.309,1022.1833,947.2602,811.8805,704.2811,998.5632,1005.7695,1063.5381,729.4211,871.7901,1107.7752,896.2233
"Glutamine",302.0056,1269.5988,523.1051,313.9554,506.6929,486.3953,226.7826,571.9693,195.5645,239.6442,194.0581,249.9858,264.4131,365.477,227.547,237.0848,208.391,298.7955,412.201,322.1155,189.5155,90.5552,151.1662,153.6603,122.1632,168.6501,121.8718,309.8503,177.9631,165.2072,277.3587,246.6735,195.5671,263.8185,298.2891,196.3571,157.9152,601.7435,291.3522,702.5595,399.3421,291.5578,185.6915,456.6885,258.6922,153.3862,229.8047,208.3827,219.877,150.5749,272.1493,213.5713,198.0889
"Proline",1425.5403,1750.0433,1474.9937,1302.7099,1537.2633,1547.7503,1492.9356,1707.1246,1446.6146,1175.627,1404.5487,1375.7121,1521.6287,1802.5174,1310.4989,1444.2547,1430.0542,1389.7754,1443.5391,1649.9161,1416.1927,1042.7818,1467.3538,1424.7268,1379.2363,1440.6985,1422.5138,1490.0291,1471.8217,679.4963,1571.8218,1272.8696,1394.2928,1489.603,1666.6632,1423.1624,1458.3835,1552.2897,1452.1538,1617.6938,1403.0736,1228.5327,1377.077,1486.7246,1312.2476,1339.8816,1580.2482,1473.585,1480.8924,1221.0623,1625.876,1226.8714,1365.0283
"Trehalose",40.4043,31.6081,36.5715,26.5716,43.2395,31.5965,30.3794,26.0495,25.8264,31.7523,38.9646,32.4022,37.7791,47.9032,33.0836,27.9049,30.502,25.7216,17.5877,27.3355,29.6255,20.8644,36.3696,32.2003,25.0907,28.4191,25.7707,28.4468,27.2567,28.2801,31.9218,26.5883,20.6051,27.9865,35.3967,25.6614,23.5236,26.7795,27.7815,29.7083,28.3278,16.5164,30.6302,30.6995,26.4866,22.9187,37.2383,36.6191,29.1124,31.0987,40.2544,37.6551,31.2715
"Malate",707.7733,624.612646,631.8183,523.48699,763.5622,755.3667,574.0207,484.50878,710.759,507.05492,572.1516,695.2426,543.11611,592.90543,527.59075,639.9248,700.0915,627.2877,511.4219,680.8518,624.20546,624.0235,779.4337,689.3213,519.634,647.3666,546.1871,576.5999,584.579363,454.66424,620.47583,551.35966,508.39054,640.6143,605.87433,548.13192,425.98614,697.3701,709.7847,722.3194,692.5097,656.0629,756.8548,738.4397,686.5166,440.05129,647.5432,526.02314,754.7904,512.6656,487.7787,625.8972,581.0273
